EmpID,EmpName,EngDt,TermDt,DepID,GenderID,RaceID,MgrID,DOB,PayRate,Level
41,"Standen, Selina H",21/03/2016,20/Nov/2021,1,1,2,35,15/Nov/1988,,3
42,"Stevenson, Dimitrios X",01/01/2015,29/Aug/2020,1,0,2,35,03/Sep/1988,,3
43,"Parrett, Matthew U",21/07/2015,30/Jul/2019,8,0,5,1,31/Oct/1986,,2
44,"Scholes, Liam J",01/01/2015,01/Jul/2023,6,0,3,12,11/Jun/1972,,2
45,"Massie, Sally T",01/01/2015,,10,1,5,3,01/Mar/1977,,2
46,"Gibbs, Ann J",01/01/2015,,5,1,3,30,04/Apr/1974,,2
47,"Woodbridge, Rajesh M",01/01/2015,,10,0,5,3,24/Feb/1976,,2
48,"Simpson, Herbert N",21/06/2016,,3,0,4,7,18/Dec/1969,,2
49,"Rasul, Irene S",01/01/2015,28/Aug/2018,6,1,2,12,17/Feb/1975,,2
50,"MacMillan, Olu N",10/07/2016,,9,0,4,8,17/Sep/1965,,2
51,"Rutherford, Kenneth G",03/05/2015,23/Sep/2021,6,0,1,49,12/Jul/1974,,3
52,"Gorton, Jonathan K",21/02/2015,14/Jul/2018,2,0,5,27,06/Oct/1981,,2
53,"Jarvis, Ripduman I",01/01/2015,21/Jul/2017,3,1,5,7,19/Nov/1979,,2
54,"Mongan, Adam M",01/01/2015,,6,0,5,49,05/Dec/1991,,3
55,"Polizzi, Edward G",01/01/2015,,1,0,4,35,08/May/1979,,3
56,"Woolley, Christopher F",24/07/2015,,6,0,3,49,22/Feb/1988,,3
57,"Jones, Joseph S",08/02/2015,,6,0,2,49,27/Apr/1965,,3
58,"Hyslop, Antony K",01/01/2015,,1,0,3,35,12/Mar/1991,,3
59,"Mills, Gabriele Q",15/01/2015,,8,1,2,43,31/Oct/1965,,3
60,"Shelley, Angela B",01/01/2015,,10,1,3,47,28/May/1981,,3
61,"Pryde, Jonathan C",06/09/2015,29/Apr/2018,8,0,1,43,01/Nov/1993,,3
62,"Robinson, Nuala L",01/01/2015,,8,1,5,43,31/Jul/1964,,3
63,"Housley, Davide O",01/01/2015,25/Aug/2016,1,0,4,35,14/Feb/1956,,3
64,"Rutherford, Ian C",01/01/2015,,8,0,5,43,05/Dec/1969,,3
65,"Dingley, Amanda P",27/03/2015,,3,1,5,7,17/Sep/1963,,2
66,"Rasul, Christopher U",08/08/2016,,10,0,3,47,09/Nov/1978,,3
67,"Gibbs, Peter E",14/04/2015,,5,0,1,30,31/Aug/1968,,2
68,"Ranson, Samantha N",31/05/2016,,4,1,4,4,02/Sep/1979,,2
69,"Richards, Nishma K",03/08/2015,,6,1,5,49,10/Jan/1980,,3
70,"Coombs, Jane O",21/02/2016,17/May/2022,2,1,2,27,27/Nov/1970,,2
71,"Ewart, Douglas Q",09/09/2015,07/Jun/2019,3,0,2,65,24/Jun/1987,,3
72,"Massie, Venetia L",13/09/2015,20/Sep/2021,1,1,5,35,30/Dec/1981,,3
73,"Haigh, Morag P",26/10/2015,18/Sep/2018,1,1,1,72,01/May/1979,,4
74,"Shelley, Edward Y",14/10/2015,,8,0,3,43,03/Dec/1970,,3
75,"Colley, Graham D",01/01/2015,,10,0,4,47,15/Oct/1990,,3
76,"Dawber, Frank B",01/01/2015,17/Sep/2018,4,0,3,4,02/Mar/1979,,2
77,"Roberts, Francis K",01/01/2015,,1,0,4,72,08/Nov/1958,,4
78,"Shearer, Sylvia B",01/01/2015,,2,1,3,27,10/Feb/1979,,2
79,"Sheldrick, Andrew U",12/01/2015,,10,0,5,47,30/Apr/1974,,3
80,"Lewis, Antony M",20/01/2015,,7,0,5,39,14/Jun/1973,,3
81,"Barrett, Raymond Y",01/01/2015,04/Oct/2022,1,0,2,72,16/Jul/1991,,4
82,"Wilson, Nicola C",01/01/2015,29/Apr/2016,8,1,2,43,12/Sep/1971,,3
83,"Housley, Arthur T",01/01/2015,,6,0,2,49,09/Dec/1974,,3
84,"John, Robert X",14/09/2015,,4,0,3,76,01/May/1962,,3
85,"Wynn, Adrian J",01/01/2015,,5,0,2,30,29/Jun/1971,,2
86,"Dawber, Katie F",05/12/2016,,10,1,5,47,09/May/1976,,3
87,"MacMillan, Bevis F",09/04/2015,,3,0,3,65,29/Nov/1958,,3
88,"Shelley, Sally M",05/10/2015,,10,1,1,47,21/Oct/1979,,3
89,"Morris, Sharmin W",13/05/2015,,7,1,3,39,17/Aug/1970,,3
90,"Hardy, Antony N",01/01/2015,,2,0,2,27,08/Aug/1951,,2
91,"Geraghty, Jonathan H",11/06/2015,,6,0,1,83,17/Sep/1965,,4
92,"Pryde, Antony I",01/01/2015,,7,0,5,39,16/Apr/1965,,3
93,"Pryde, Mark P",01/01/2015,,1,0,3,72,10/Apr/1985,,4
94,"Hyslop, Robert F",01/01/2015,,8,0,4,82,11/Jan/1945,,4
95,"Lamb, Nazma E",01/01/2015,29/Oct/2016,7,1,3,39,05/Apr/1986,,3
96,"Swart, Karen R",04/10/2015,,1,1,3,72,27/Jul/1979,,4
97,"Gibbs, Frank R",23/10/2015,05/Jul/2022,10,0,2,88,28/Oct/1995,,4
98,"Dingley, Gill L",03/05/2015,,3,1,5,65,05/Dec/1974,,3
99,"Brant, Dimitrios Z",01/01/2015,,1,0,2,72,03/Jul/1966,,4
100,"Henry, Katie P",01/01/2015,,5,1,4,30,09/Jan/1964,,2
101,"Coppin, Morag H",03/01/2016,,10,1,1,88,01/Feb/1983,,4
102,"Primrose, Elisabeth J",29/10/2015,,10,1,1,88,21/Jun/1975,,4
103,"Webb, Adrian X",12/11/2015,29/Jul/2018,2,0,1,90,27/Aug/1966,,3
104,"Swart, Martin H",25/09/2015,,3,0,4,65,13/Nov/1979,,3
105,"Gibbs, Tracey O",01/01/2015,,4,1,5,76,07/Oct/1966,,3
106,"Scholes, Roy D",01/01/2015,05/Apr/2021,3,0,1,65,22/May/1957,,3
107,"Barrett, Julie C",01/01/2015,,4,1,3,76,07/Feb/1985,,3
108,"Marsden, Jane X",25/01/2015,,10,1,2,88,24/May/1968,,4
109,"Marsden, Amanda R",01/01/2015,,6,1,3,83,25/Feb/1971,,4
110,"Johnson, Noella X",01/01/2015,,7,1,2,39,24/Sep/1965,,3
111,"Field, Davide S",01/01/2015,,2,0,4,90,26/Jun/1967,,3
112,"Colley, Antony P",01/01/2015,,9,0,4,8,25/Sep/1990,,2
113,"Shelley, Colette V",16/10/2015,,10,1,2,88,14/Apr/1968,,4
114,"Kenney, Douglas V",01/01/2015,,5,0,2,100,15/Aug/1989,,3
115,"Johnson, Stuart X",09/05/2015,,9,0,3,112,23/Aug/1971,,3
116,"Marsden, Bevis O",18/01/2016,,5,0,5,100,22/Mar/1983,,3
117,"Cousins, William C",15/02/2015,04/Jun/2017,10,0,5,88,05/Mar/1986,,4
118,"Richards, Kevin B",01/01/2015,,1,0,4,99,04/Jul/1970,,5
119,"MacMillan, Sandra U",01/01/2015,,9,1,2,112,27/Aug/1968,,3
120,"Ranson, Rebecca W",14/08/2015,12/Apr/2020,1,1,1,99,24/Mar/1982,,5
121,"Gore, Selina R",01/01/2015,24/Sep/2021,1,1,5,99,30/Sep/1969,,5
122,"Gorton, Martin U",01/01/2015,,1,0,4,99,30/Jun/1972,,5
123,"King, Sally P",01/01/2015,,6,1,5,83,06/Jan/1995,,4
124,"Mongan, Giulio T",01/01/2015,14/Jun/2020,2,0,4,90,18/Jan/1989,,3
125,"Fleet, Anastasia S",01/01/2015,,6,1,4,83,24/Jun/1976,,4
126,"Wilson, Irene C",06/05/2015,22/Apr/2017,7,1,2,39,01/May/1966,,3
127,"Colley, Selina K",10/03/2016,,5,1,3,100,01/Mar/1977,,3
128,"Barrett, Noella I",01/01/2015,,1,1,4,99,23/Apr/1970,,5
129,"Shearer, Herbert J",01/01/2015,,10,0,5,117,10/Jul/1979,,5
130,"Parkes, Joanna F",01/01/2015,,3,1,4,65,01/Jun/1980,,3
131,"Jarvis, Eunice L",01/01/2015,,9,1,4,112,18/Aug/1993,,3
132,"Wilson, Graham U",01/01/2015,28/Nov/2019,4,0,2,76,26/Feb/1994,,3
133,"Andrews, Bhavna U",01/01/2015,21/May/2016,6,1,1,83,16/Aug/1979,,4
134,"Green, Adam H",12/04/2015,,5,0,3,100,17/Apr/1995,,3
135,"Field, Gabriele V",01/01/2015,,4,1,1,76,16/Nov/1969,,3
136,"Gore, Sarah G",08/06/2015,,3,1,5,130,02/Jan/1989,,4
137,"Primrose, Syed E",02/10/2015,,9,0,4,112,24/Apr/1978,,3
138,"Robinson, Elsie L",01/01/2015,15/Jun/2017,5,1,2,100,31/Oct/1961,,3
139,"Leyland, Elizabeth S",01/01/2015,,1,1,2,99,05/Nov/1976,,5
140,"Swart, Christopher X",05/02/2015,02/Jun/2020,3,0,3,130,05/Aug/1965,,4
141,"Rutherford, Gabriele Q",01/01/2015,04/Jun/2020,2,1,2,90,12/May/1974,,3
142,"Polizzi, Paul W",13/01/2015,07/Sep/2018,9,0,4,112,15/Nov/1954,,3
143,"Collingwood, Irene H",13/07/2015,,6,1,4,83,28/Mar/1984,,4
144,"Rasul, Jean W",01/01/2015,,8,1,2,82,21/Aug/1982,,4
145,"Devlin, Graham I",05/03/2015,,1,0,3,139,05/Oct/1970,,6
146,"Swart, Andrew R",01/01/2015,27/Jun/2023,9,0,5,112,20/Dec/1983,,3
147,"Wright, Laura R",01/01/2015,15/Jan/2017,4,1,5,76,20/Jul/1957,,3
148,"Parkes, George I",25/12/2015,,2,0,4,90,08/Mar/1983,,3
149,"Robinson, Colin L",01/01/2015,,8,0,4,82,28/Jun/1966,,4
150,"Hulme, Brigitte B",03/04/2015,,1,1,5,139,11/May/1975,,6
151,"Barrett, Kenneth A",01/01/2015,15/Jun/2021,7,0,2,126,28/Oct/1969,,4
152,"Murray, Thomas K",12/03/2015,10/Feb/2024,9,0,3,146,10/May/1965,,4
153,"Lovett, John C",01/01/2015,04/Aug/2019,7,0,2,126,11/Sep/1962,,4
154,"Goddard, Arthur E",21/12/2016,,7,0,4,126,11/Mar/1965,,4
155,"Dawber, Phyllis N",01/01/2015,19/Aug/2022,9,1,4,146,20/Feb/1978,,4
156,"Leyland, Simone I",01/01/2015,,4,1,2,147,21/Feb/1947,,4
157,"Geraghty, Davide M",01/01/2015,26/Apr/2023,4,0,1,147,01/Jan/1962,,4
158,"Mistry, Colin D",01/01/2015,22/Dec/2017,3,0,2,130,21/Jan/1980,,4
159,"Gibbs, Paul I",13/02/2016,07/Feb/2021,6,0,3,143,12/Dec/1957,,5
160,"Devlin, Selina E",20/01/2015,,9,1,2,146,01/May/1970,,4
161,"Turner, Bhavna S",01/01/2015,03/Dec/2022,2,1,4,90,10/Apr/1966,,3
162,"Crompton, Kay E",16/06/2015,,2,1,1,161,04/Dec/1968,,4
163,"Fleet, Sally O",01/01/2015,,1,1,1,139,03/Oct/1976,,6
164,"Murray, Simone D",01/01/2015,12/Oct/2018,10,1,2,117,07/Feb/1964,,5
165,"Jones, Venetia Z",01/01/2015,09/Apr/2017,5,1,2,100,29/Jan/1973,,3
166,"Turner, Noella J",01/01/2015,,8,1,3,82,18/Dec/1984,,4
167,"Wright, Andrew J",01/01/2015,24/Jan/2019,8,0,1,82,29/Jun/1968,,4
168,"Powell, Elsie J",01/01/2015,,10,1,5,117,10/Nov/1974,,5
169,"Parrett, Samantha K",15/01/2016,,7,1,4,126,15/May/1985,,4
170,"Roberts, Daniel X",22/06/2015,,6,0,1,143,24/Nov/1974,,5
171,"Kralj, Janet Z",30/03/2016,,1,1,2,139,24/Dec/1964,,6
172,"Green, Francis A",01/01/2015,,4,0,2,147,08/Dec/1972,,4
173,"Mistry, Amanda F",27/10/2015,22/Aug/2018,2,1,2,161,24/Dec/1973,,4
174,"Norman, Elisabeth Z",01/01/2015,23/Aug/2023,9,1,3,146,14/Jun/1966,,4
175,"MacMillan, Gary M",01/01/2015,04/Aug/2020,4,0,4,147,31/Mar/1967,,4
176,"Jackson, Ann G",11/05/2015,,5,1,2,165,27/Nov/1990,,4
177,"Andrews, Rosalie M",27/08/2015,03/Jun/2021,4,1,4,147,27/Mar/1969,,4
178,"John, Brigitte R",01/01/2015,06/Jul/2017,1,1,1,139,14/Feb/1956,,6
179,"Choi, Antony C",01/01/2015,,1,0,2,139,22/May/1976,,6
180,"Seabrook, Bevis G",23/07/2015,19/May/2022,8,0,1,82,06/May/1962,,4
181,"Watt, Jean K",01/01/2015,,8,1,2,180,04/May/1971,,5
182,"Woolley, Colin F",02/09/2015,,7,0,3,126,31/Dec/1951,,4
183,"Channing, Gillian X",01/01/2015,30/Jun/2015,7,1,3,126,12/Jun/1965,,4
184,"MacMillan, Kathleen C",01/01/2015,11/Jun/2018,6,1,4,143,26/Mar/1988,,5
185,"Fleet, Elisabeth E",01/01/2015,10/Apr/2023,7,1,5,183,30/Aug/1981,,5
186,"Gore, Lynnette S",14/04/2015,,1,1,2,179,05/Aug/1965,,7
187,"Jackson, Clare C",01/01/2015,,5,1,4,165,31/Oct/1961,,4
188,"Jarvis, Andrew A",01/01/2015,,4,0,3,147,05/Nov/1972,,4
189,"Robinson, Jean W",01/01/2015,,5,1,4,165,04/Feb/1974,,4
190,"Ewart, Saleha I",01/01/2015,05/Jul/2016,7,1,1,183,15/Oct/1975,,5
191,"Turner, Robert V",01/01/2015,,10,0,3,117,01/Jun/1971,,5
192,"Henry, Davide D",12/08/2015,06/Jun/2021,5,0,4,165,03/May/1979,,4
193,"Marsden, Hannah R",09/08/2015,,7,1,3,183,10/Jul/1976,,5
194,"Parkes, Steven F",01/01/2015,,8,0,1,180,28/Dec/1963,,5
195,"Mongan, Samantha H",06/11/2016,03/Nov/2021,5,1,3,165,11/Nov/1996,,4
196,"Goddard, Josie Q",26/01/2016,,4,1,1,188,02/Jun/1979,,5
197,"Housley, Harry U",16/02/2015,,6,0,4,143,21/Feb/1995,,5
198,"McCarthy, Liam O",28/04/2016,,9,0,1,146,07/Jan/1953,,4
199,"Gore, Elisabeth O",01/01/2015,15/Jun/2019,5,1,2,165,27/Apr/1957,,4
200,"Colley, Lesley Q",01/01/2015,,6,1,2,143,22/Jul/1972,,5
201,"Dawber, Michael I",01/01/2015,06/Jun/2015,7,0,4,183,02/Aug/1986,,5
202,"Robinson, Leslie N",19/09/2015,27/Jul/2019,3,0,3,130,08/Nov/1966,,4
203,"Watt, Amanda W",19/05/2016,17/Jun/2022,3,1,2,130,08/Oct/1976,,4
204,"Ranson, Rajesh H",01/01/2015,,3,0,4,130,06/Jan/1995,,4
205,"Simpson, Eileen L",25/06/2015,21/Jul/2023,4,1,2,188,01/May/1967,,5
206,"Goddard, Simone F",01/01/2015,,6,1,5,143,10/Mar/1980,,5
207,"King, Philip J",01/01/2015,17/Apr/2016,4,0,5,188,10/Dec/1973,,5
208,"Bennett, Lynnette U",26/10/2015,,10,1,5,117,07/Feb/1974,,5
209,"Jarvis, Ripduman H",01/01/2015,,10,1,5,117,24/Mar/1954,,5
210,"Turner, Dimitrios V",01/01/2015,16/Apr/2018,1,0,5,179,04/Nov/1976,,7
211,"Primrose, Adele D",12/03/2015,19/Apr/2016,2,1,5,161,28/Oct/1987,,4
212,"Woolley, Darren H",01/01/2015,,1,0,2,179,05/Oct/1981,,7
213,"Nash, Joanne B",04/01/2016,,10,1,1,209,06/Jan/1972,,6
214,"Nash, Paul M",20/10/2015,11/Oct/2016,2,0,5,161,17/Nov/1985,,4
215,"Nielson, Nuala K",20/07/2016,16/Aug/2019,10,1,4,209,31/Jul/1987,,6
216,"King, Kevin X",20/07/2016,,10,0,3,209,25/Jul/1996,,6
217,"Lewis, Kay W",14/08/2016,16/Oct/2020,8,1,3,180,07/Sep/1968,,5
218,"Gorton, Dimitrios J",01/01/2015,,3,0,3,204,15/Jan/1976,,5
219,"Coppin, Alison I",01/01/2015,,4,1,4,188,20/Apr/1972,,5
220,"Haigh, Richard W",27/12/2015,,1,0,1,179,10/Oct/1965,,7
221,"Sheldrick, Joseph X",01/01/2015,,8,0,2,180,30/Jan/1979,,5
222,"Shelley, Jill Q",04/09/2015,,8,1,2,180,31/Oct/1980,,5
223,"Colley, Brenda A",01/01/2015,,6,1,4,206,27/Apr/1975,,6
224,"MacMillan, Amanda G",14/12/2015,,9,1,3,146,21/Sep/1970,,4
225,"Norman, Anna H",01/01/2015,,4,1,2,188,10/Jul/1980,,5
226,"Devlin, Stuart L",01/01/2015,22/Jun/2017,1,0,4,179,13/Dec/1970,,7
227,"Kralj, Ian R",01/01/2015,,2,0,1,161,19/May/1968,,4
228,"Webb, Andrew G",04/03/2015,06/Jul/2018,6,0,3,206,22/Dec/1973,,6
229,"Roberts, Angela F",01/01/2015,,10,1,5,209,12/Jun/1972,,6
230,"Ewart, Ann Y",01/01/2015,,7,1,2,183,22/Mar/1975,,5
231,"Colley, Selina K",29/05/2016,,4,1,3,188,25/Mar/1980,,5
232,"Marsden, David A",24/07/2015,13/Jun/2021,8,0,2,180,27/Feb/1979,,5
233,"Dawber, Rajesh V",01/01/2015,23/Feb/2016,10,0,5,209,22/Dec/1981,,6
234,"Scholes, Sonia G",17/08/2015,19/Mar/2019,9,1,3,224,18/Feb/1968,,5
235,"Watt, Christopher K",01/01/2015,,8,0,2,232,30/Jan/1981,,6
236,"Crompton, Sally S",19/05/2016,15/Oct/2023,9,1,4,224,16/Dec/1988,,5
237,"Powell, Daniel H",28/10/2016,,8,0,3,232,28/Oct/1985,,6
238,"Turner, Julie P",24/10/2016,,1,1,5,179,10/Jul/1977,,7
239,"Standen, Herbert V",19/05/2016,,7,0,1,183,30/Dec/1976,,5
240,"Rasul, Dimitrios M",26/12/2015,,2,0,5,161,10/Apr/1969,,4
241,"Goddard, Gary S",01/01/2015,,9,0,2,224,18/Sep/1977,,5
242,"King, David C",25/08/2015,,8,0,2,232,30/Mar/1974,,6
243,"Sheldrick, Nazma V",01/01/2015,11/Aug/2022,5,1,3,199,11/Jan/1960,,5
244,"Deering, Clare M",01/01/2015,,1,1,5,238,21/Apr/1981,,8
245,"Seabrook, Davide I",04/08/2015,,6,0,1,206,28/Aug/1965,,6
246,"Goddard, Brenda X",31/07/2015,,4,1,5,231,06/Sep/1949,,6
247,"Primrose, Lisa O",01/01/2015,24/Mar/2023,6,1,5,206,12/Mar/1972,,6
248,"Jackson, Carmel X",01/01/2015,,1,1,5,238,03/Jan/1972,,8
249,"Fleet, Leigh F",01/01/2015,,3,0,1,204,17/Mar/1975,,5
250,"Hardy, Margaret E",19/02/2015,29/Jun/2017,2,1,2,240,18/Mar/1968,,5
251,"Jarvis, John E",01/01/2015,,5,0,5,199,12/Jul/1975,,5
252,"Gibbs, John V",01/01/2015,,6,0,2,206,25/Apr/1967,,6
253,"Johnson, William P",07/09/2015,24/Apr/2021,4,0,5,231,23/May/1980,,6
254,"Lovett, Arthur C",19/04/2016,18/Apr/2020,7,0,1,239,25/Jul/1967,,6
255,"Rutherford, Bruno V",01/01/2015,,5,0,1,199,03/Nov/1974,,5
256,"Primrose, Andree M",30/11/2015,,10,1,1,209,14/Mar/1970,,6
257,"Goddard, Gordon O",09/05/2015,15/Sep/2018,4,0,2,231,29/Nov/1980,,6
258,"Pryde, Simon U",01/01/2015,,2,0,5,240,09/Aug/1986,,5
259,"Shelley, Frank R",01/01/2015,,1,0,5,238,01/Nov/1970,,8
260,"Norman, Kathleen A",01/01/2015,,6,1,2,206,30/Jul/1977,,6
261,"Rasul, Eunice I",01/01/2015,,7,1,2,239,16/Apr/1978,,6
262,"Shute, Steven K",25/09/2015,,3,0,5,204,20/Jun/1971,,5
263,"Kenney, Yvonne W",11/06/2016,,6,1,4,260,24/Oct/1962,,7
264,"Woodbridge, Colin O",01/01/2015,21/Apr/2023,9,0,5,224,16/Oct/1966,,5
265,"Parrett, Bevis A",01/01/2015,,6,0,1,260,23/Feb/1974,,7
266,"Shelley, Leigh D",31/03/2015,09/Jun/2019,2,0,1,240,15/Aug/1977,,5
267,"Lamb, Lynnette P",01/01/2015,,5,1,3,199,20/May/1982,,5
268,"Morris, Ann G",01/01/2015,,3,1,1,204,14/Aug/1963,,5
269,"Polizzi, Tirzah U",10/05/2015,,6,1,4,260,17/Sep/1968,,7
270,"Mongan, Chi D",28/02/2015,,4,0,4,231,04/Jan/1980,,6
271,"Sheldrick, Josie Z",26/09/2015,,2,1,3,240,14/Sep/1973,,5
272,"Kenney, Margaret H",01/10/2015,,2,1,4,240,06/Mar/1973,,5
273,"Parkes, Colin V",12/04/2015,12/Aug/2017,10,0,5,256,24/Jan/1955,,7
274,"Woolley, Christopher N",01/01/2015,,3,0,2,204,02/Sep/1978,,5
275,"Leyland, Samantha E",01/01/2015,12/Sep/2020,10,1,1,256,27/Nov/1959,,7
276,"Hyslop, Darren V",19/06/2015,24/Oct/2021,10,0,1,256,22/Nov/1958,,7
277,"Marsden, Tirzah G",01/06/2017,,4,1,1,231,23/Dec/1985,,6
278,"Watt, Syed M",06/02/2015,,4,0,2,231,31/Dec/1974,,6
279,"Gore, Tirzah J",22/08/2016,,5,1,2,199,08/Feb/1983,,5
280,"Hardy, Daniel Z",07/02/2016,,1,0,4,238,27/Nov/1963,,8
281,"Lovett, Simon F",01/01/2015,,10,0,4,256,02/May/1978,,7
282,"Jackson, Bruno D",01/02/2016,,9,0,4,224,14/Feb/1970,,5
283,"Dawber, Bevis R",13/11/2015,,9,0,1,224,11/Apr/1975,,5
284,"Ewart, Andree Y",16/03/2017,,9,1,1,283,01/Mar/1980,,6
285,"Lovett, Julie X",23/04/2015,12/Apr/2020,3,1,4,204,13/Feb/1976,,5
286,"Devlin, Shane S",12/08/2016,,4,0,3,278,20/Mar/1954,,7
287,"Polizzi, Peter H",29/07/2015,27/May/2021,7,0,2,239,27/May/1970,,6
288,"Swart, Giulio W",11/07/2015,,8,0,1,232,07/Dec/1977,,6
289,"Kenney, Darren M",01/01/2015,,7,0,2,239,09/Jan/1976,,6
290,"Gilroy, Richard H",01/01/2015,28/Oct/2018,1,0,3,238,14/Jun/1981,,8
291,"Rawson, Kay I",01/01/2015,,3,1,3,285,13/Apr/1968,,6
292,"Housley, Giulio X",02/06/2015,15/Sep/2022,3,0,5,285,10/Apr/1961,,6
293,"Ewart, Venetia B",01/10/2015,14/May/2016,6,1,5,260,13/Aug/1980,,7
294,"Massie, Diana B",01/01/2015,,6,1,2,260,22/Sep/1974,,7
295,"Goddard, Peter Z",01/01/2015,,1,0,1,238,24/Mar/1971,,8
296,"Kenney, John F",26/01/2015,,7,0,1,239,12/Mar/1962,,6
297,"Primrose, Ann V",01/01/2015,,5,1,2,199,26/Mar/1945,,5
298,"Stevenson, Bevis E",01/01/2015,,3,0,1,285,11/Jun/1969,,6
299,"Lloyd, Lisa K",01/01/2015,18/May/2022,5,1,4,297,29/Jul/1978,,6
300,"Brant, Elsie Y",10/09/2016,22/Feb/2018,4,1,2,278,26/Jul/1981,,7
301,"Shute, Joanna Y",12/07/2015,28/Sep/2020,6,1,5,260,27/Dec/1975,,7
302,"Goddard, Simon U",01/01/2015,,5,0,5,297,21/Jul/1965,,6
303,"Haigh, Clare T",01/01/2015,19/Sep/2018,10,1,5,256,19/Apr/1964,,7
304,"Crompton, Anne G",02/04/2015,,9,1,1,283,04/Sep/1986,,6
305,"Mistry, Nicholas N",01/01/2015,04/Apr/2023,5,0,2,297,01/Oct/1968,,6
306,"McCarthy, Adele C",05/11/2015,,6,1,4,301,25/Apr/1966,,8
307,"Norman, Martin E",01/01/2015,,9,0,5,283,17/May/1987,,6
308,"Mongan, Anna H",01/01/2015,,6,1,5,301,24/Dec/1979,,8
309,"Rawson, Jonathan U",24/05/2015,26/Sep/2017,4,0,1,278,17/Jun/1969,,7
310,"Nielson, Edward E",01/01/2015,,1,0,3,295,28/Feb/1970,,9
311,"Jarvis, William U",01/01/2015,02/Sep/2019,6,0,4,301,04/Feb/1989,,8
312,"Gorton, Julie G",01/01/2015,,8,1,1,232,02/Jun/1965,,6
313,"Gore, Gwendolyn V",01/01/2015,16/Jun/2023,10,1,4,256,19/Jan/1977,,7
314,"King, Nicholas G",01/01/2015,03/Apr/2019,4,0,3,278,11/Jun/1978,,7
315,"Kralj, Herbert V",08/07/2015,,5,0,2,297,29/Jan/1969,,6
